codigo_favorecido,nome_favorecido,codigo_municipio_siafi
04243978000135,MUNICIPIO DE BENJAMIN CONSTANT,213
04628111000106,MUNICIPIO DE BERURI,295
15338012000106,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE BOA VISTA DO RAMOS,297
04629283000196,MUNICIPIO DE BOA VISTA DO RAMOS,297
15811318000120,MUNICIPIO DE BOCA DO ACRE,215
04477568000159,MUNICIPIO DE BORBA,217
04628046000100,MUNICIPIO DE CAAPIRANGA,299
04247441000143,MUNICIPIO DE CANUTAMA,219
04530044000184,MUNICIPIO DE CARAUARI,221
02080749000111,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,223
04332995000149,MUNICIPIO DE CAREIRO,223
23006331000134,MUNICIPIO DE CAREIRO DA VARZEA,965
04262432000121,MUNICIPIO DE COARI,225
04263331000175,MUNICIPIO DE CODAJAS,227
04190765000192,MUNICIPIO DE EIRUNEPE,229
04530895000127,MUNICIPIO DE ENVIRA,231
04530101000125,MUNICIPIO DE FONTE BOA,233
22812242000112,MUNICIPIO DE GUAJARA,967
04465209000181,MUNICIPIO DE HUMAITA,235
04191078000191,MUNICIPIO DE IPIXUNA,239
04628533000173,MUNICIPIO DE IRANDUBA,9835
04241980000175,MUNICIPIO DE ITACOATIARA,241
04628376000104,MUNICIPIO DE ITAMARATI,9837
04495644000159,MUNICIPIO DE ITAPIRANGA,243
04505509000147,MUNICIPIO DE JAPURA,245
04588596000143,MUNICIPIO DE JURUA,247
04285896000153,MUNICIPIO DE JUTAI,249
05830872000109,MUNICIPIO DE LABREA,251
04274064000131,MUNICIPIO DE MANACAPURU,253
06074875000114,SECRETARIA MUNICIPAL DE EDUCACAO E CULTURA,253
04641551000195,MUNICIPIO DE MANAQUIRI,9839
04365326000173,MUNICIPIO DE MANAUS,255
45417018000121,SECRETARIA MUNICIPAL DE SEGURANCA PUBLICA E DEFESA SOCIAL,255
04197166000109,MUNICIPIO DE MANICORE,257
04505640000104,MUNICIPIO DE MARAA,259
04282869000127,MUNICIPIO DE MAUES,261
04283578000153,MUNICIPIO DE NHAMUNDA,263
04477600000104,MUNICIPIO DE NOVA OLINDA DO NORTE,265
04533113000103,MUNICIPIO DE NOVO AIRAO,201
53375190000198,SECRETARIA MUNICIPAL DE EDUCACAO - SEMED,201
04278818000121,MUNICIPIO DE NOVO ARIPUANA,267
04329736000169,MUNICIPIO DE PARINTINS,269
04530135000110,MUNICIPIO DE PAUINI,271
04628681000198,MUNICIPIO DE PRESIDENTE FIGUEIREDO,9841
04629697000115,MUNICIPIO DE RIO PRETO DA EVA,9843
30055154000141,"SECRETARIA MUNICIPAL DE EDUCACAO, CULTURA E DESPORTO - SEMECD",9843
04194239000109,MUNICIPIO DE SANTA ISABEL DO RIO NEGRO,237
04532057000192,MUNICIPIO DE SANTO ANTONIO DO ICA,273
04272670000118,MUNICIPIO DE SAO GABRIEL DA CACHOEIRA,283
15525974000166,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,275
05829577000124,MUNICIPIO DE SAO PAULO DE OLIVENCA,275
04628418000107,MUNICIPIO DE SAO SEBASTIAO DO UATUMA,9845
04477634000190,MUNICIPIO DE SILVES,277
04011805000191,MUNICIPIO DE TABATINGA,9847
04530390000162,MUNICIPIO DE TAPAUA,279
06076258000158,SECRETARIA MUNICIPAL DE EDUCACAO - SEMED,279
04426383000115,MUNICIPIO DE TEFE,281
04628608000116,MUNICIPIO DE TONANTINS,9851
04647079000106,MUNICIPIO DE UARINI,9849
04477782000105,MUNICIPIO DE URUCARA,285
04502571000185,MUNICIPIO DE URUCURITUBA,287
31023726000173,SECRETARIA MUNICIPAL DE EDUCACAO E QUALIDADE DE ENSINO,287
05989116000119,MUNICIPIO DE AMAPA,601
05990437000133,MUNICIPIO DE CALCOENE,603
34925198000136,MUNICIPIO DE CUTIAS,667
23066814000124,MUNICIPIO DE FERREIRA GOMES,611
34925214000190,MUNICIPIO DE ITAUBAL,669
23066905000160,MUNICIPIO DE LARANJAL DO JARI,613
05995766000177,MUNICIPIO DE MACAPA,605
05986427000124,MUNICIPIO DE MAZAGAO,607
05990445000180,MUNICIPIO DE OIAPOQUE,609
34925131000100,MUNICIPIO DE PEDRA BRANCA DO AMAPARI,663
34925206000144,MUNICIPIO DE PORTO GRANDE,671
34925222000137,MUNICIPIO DE PRACUUBA,673
23066640000108,MUNICIPIO DE SANTANA,615
34925230000183,MUNICIPIO DE SERRA DO NAVIO,665
23066632000153,MUNICIPIO DE TARTARUGALZINHO,617
00720553000119,MUNICIPIO DE VITORIA DO JARI,70
13670021000166,MUNICIPIO DE ABAIRA,3301
13915657000120,MUNICIPIO DE ABARE,3303
13696521000177,MUNICIPIO DE ACAJUTIBA,3305
16298929000189,MUNICIPIO DE ADUSTINA,3253
13606702000165,MUNICIPIO DE AGUA FRIA,3307
13769609000171,MUNICIPIO DE AIQUARA,3311
13646005000138,MUNICIPIO DE ALAGOINHAS,3313
13761721000166,MUNICIPIO DE ALCOBACA,3315
14147466000129,MUNICIPIO DE ALMADINA,3317
13825484000150,MUNICIPIO DE AMARGOSA,3319
31020758000115,SECRETARIA MUNICIPAL DE EDUCACAO - SEMED,3319
13607213000128,MUNICIPIO DE AMELIA RODRIGUES,3321
13891536000196,MUNICIPIO DE AMERICA DOURADA,3071
18100940000118,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,3323
13906409000113,MUNICIPIO DE ANAGE,3323
13922570000180,MUNICIPIO DE ANDARAI,3325
16448870000168,MUNICIPIO DE ANDORINHA,3255
13654421000188,MUNICIPIO DE ANGICAL,3327
13607346000102,MUNICIPIO DE ANGUERA,3329
13808217000174,MUNICIPIO DE ANTAS,3331
13607494000119,MUNICIPIO DE ANTONIO CARDOSO,3333
13646542000188,MUNICIPIO DE APORA,3337
16434292000100,MUNICIPIO DE APUAREMA,3257
16131088000110,MUNICIPIO DE ARACAS,3259
14105712000180,MUNICIPIO DE ARACATU,3339
14232086000192,MUNICIPIO DE ARACI,3341
13646740000141,MUNICIPIO DE ARAMARI,3343
13658158000103,MUNICIPIO DE ARATACA,3073
13796073000183,MUNICIPIO DE ARATUIPE,3345
16137291000102,MUNICIPIO DE AURELINO LEAL,3347
13654413000131,MUNICIPIO DE BAIANOPOLIS,3349
13794912000124,MUNICIPIO DE BAIXA GRANDE,3351
30421475000112,SECRETARIA MUNICIPAL DE EDUCACAO DE BANZAE,3261
13880703000101,MUNICIPIO DE BARRA,3353
13670658000152,MUNICIPIO DE BARRA DA ESTIVA,3355
13906789000196,MUNICIPIO DE BARRA DO CHOCA,3357
13702238000100,MUNICIPIO DE BARRA DO MENDES,3359
14234850000169,MUNICIPIO DE BARRA DO ROCHA,3361
13654405000195,MUNICIPIO DE BARREIRAS,3363
13234349000130,MUNICIPIO DE BARRO ALTO,3075
14147458000182,MUNICIPIO DE BARRO PRETO,3365
04216287000142,MUNICIPIO DE BARROCAS,1110
13634977000102,MUNICIPIO DE BELMONTE,3367
31028615000150,SECRETARIA MUNICIPAL DE EDUCACAO DE BELO CAMPO,3369
13835558000139,MUNICIPIO DE BIRITINGA,3371
13894894000152,MUNICIPIO DE BOA NOVA,3373
13718176000125,MUNICIPIO DE BOA VISTA DO TUPIM,3375
14105183000114,MUNICIPIO DE BOM JESUS DA LAPA,3377
16418709000141,MUNICIPIO DE BOM JESUS DA SERRA,3263
13922612000183,MUNICIPIO DE BONINAL,3379
16245375000151,MUNICIPIO DE BONITO,3265
13780770000146,MUNICIPIO DE BOQUIRA,3381
13782479000107,MUNICIPIO DE BOTUPORA,3383
14197768000101,MUNICIPIO DE BREJOES,3385
29972854000111,SECRETARIA MUNICIPAL DE EDUCACAO ESPORTE E LAZER,3387
13797600000174,MUNICIPIO DE BROTAS DE MACAUBAS,3389
14105704000133,MUNICIPIO DE BRUMADO,3391
13721188000109,MUNICIPIO DE BUERAREMA,3393
13234000000106,MUNICIPIO DE BURITIRAMA,3079
13856372000166,MUNICIPIO DE CAATIBA,3395
13866892000150,MUNICIPIO DE CABACEIRAS DO PARAGUACU,3267
13828397000156,MUNICIPIO DE CACHOEIRA,3397
13676788000100,MUNICIPIO DE CACULE,3399
13913348000111,MUNICIPIO DE CAEM,3401
16418717000198,MUNICIPIO DE CAETANOS,3269
13811476000154,MUNICIPIO DE CAETITE,3403
13714142000162,MUNICIPIO DE CAFARNAUM,3405
14235907000144,MUNICIPIO DE CAIRU,3407
30530137000119,SECRETARIA MUNICIPAL DE EDUCACAO DE CAIRU - SEDUC,3407
29996023000180,SECRETARIA MUNICIPAL DE EDUCACAO E CULTURA DE CALDEIRAO GRANDE,3409
13682398000135,MUNICIPIO DE CAMACAN,3411
14109763000180,MUNICIPIO DE CAMACARI,3413
13753306000160,MUNICIPIO DE CAMAMU,3415
14117329000141,MUNICIPIO DE CAMPO ALEGRE DE LOURDES,3417
13908702000110,MUNICIPIO DE CAMPO FORMOSO,3419
13812144000194,MUNICIPIO DE CANAPOLIS,3421
13714464000101,MUNICIPIO DE CANARANA,3423
13817804000120,MUNICIPIO DE CANAVIEIRAS,3425
30666982000116,SECRETARIA DE EDUCACAO DE CANDEAL,3427
13830336000123,MUNICIPIO DE CANDEIAS,3429
13982608000100,MUNICIPIO DE CANDIBA,3431
13857123000195,MUNICIPIO DE CANDIDO SALES,3433
13806567000100,MUNICIPIO DE CANSANCAO,3435
13343967000118,MUNICIPIO DE CANUDOS,3085
13897111000194,MUNICIPIO DE CAPELA DO ALTO ALEGRE,3081
13230982000150,MUNICIPIO DE CAPIM GROSSO,3083
16418766000120,MUNICIPIO DE CARAIBAS,3271
30996211000197,SECRETARIA MUNICIPAL DE EDUCACAO DE CARAIBAS,3271
13761689000119,MUNICIPIO DE CARAVELAS,3437
14126254000165,MUNICIPIO DE CARDEAL DA SILVA,3439
14105209000124,MUNICIPIO DE CARINHANHA,3441
13691811000128,MUNICIPIO DE CASA NOVA,3443
13693122000152,MUNICIPIO DE CASTRO ALVES,3445
13654447000126,MUNICIPIO DE CATOLANDIA,3447
13800685000100,MUNICIPIO DE CATU,3449
16257719000142,MUNICIPIO DE CATURAMA,3273
14136816000151,MUNICIPIO DE CENTRAL,3451
30269362000143,SECRETARIA MUNICIPAL DE EDUCACAO DE CHORROCHO,3453
13808613000100,MUNICIPIO DE CICERO DANTAS,3455
13808936000195,MUNICIPIO DE CIPO,3457
31301397000185,SECRETARIA MUNICIPAL DE EDUCACAO,3459
06081375000100,SECRETARIA MUNICIPAL DE EDUCACAO E CULTURA,3461
13828371000108,MUNICIPIO DE CONCEICAO DA FEIRA,3463
13695028000132,MUNICIPIO DE CONCEICAO DO ALMEIDA,3465
13843842000157,MUNICIPIO DE CONCEICAO DO COITE,3467
14222574000119,MUNICIPIO DE CONCEICAO DO JACUIPE,3469
14126692000123,MUNICIPIO DE CONDE,3471
13694138000180,MUNICIPIO DE CONDEUBA,3473
14106553000138,MUNICIPIO DE CONTENDAS DO SINCORA,3475
13883996000172,MUNICIPIO DE CORACAO DE MARIA,3477
13694468000175,MUNICIPIO DE CORDEIROS,3479
13912084000181,MUNICIPIO DE CORIBE,3481
14215818000136,MUNICIPIO DE CORONEL JOAO SA,3483
14221741000107,MUNICIPIO DE CORRENTINA,3485
13654892000196,MUNICIPIO DE COTEGIPE,3487
13763396000170,MUNICIPIO DE CRAVOLANDIA,3489
13646922000112,MUNICIPIO DE CRISOPOLIS,3491
30776120000146,"SECRETARIA MUNICIPAL DE EDUCACAO, CULTURA, ESPORTE, LAZER E TURISMO",3493
14006977000120,MUNICIPIO DE CRUZ DAS ALMAS,3495
13915640000173,MUNICIPIO DE CURACA,3497
13700174000109,MUNICIPIO DE DARIO MEIRA,3499
13394044000195,MUNICIPIO DE DIAS D'AVILA,3087
30988804000101,SECRETARIA MUNICIPAL DE EDUCACAO - SEDUC,3087
13673314000105,MUNICIPIO DE DOM BASILIO,3501
13827019000158,MUNICIPIO DE DOM MACEDO COSTA,3503
13693379000104,MUNICIPIO DE ELISIO MEDRADO,3505
13907373000192,MUNICIPIO DE ENCRUZILHADA,3507
14126981000122,MUNICIPIO DE ENTRE RIOS,3509
13670203000137,MUNICIPIO DE ERICO CARDOSO,3309
13885231000171,MUNICIPIO DE ESPLANADA,3511
16233439000102,MUNICIPIO DE EUNAPOLIS,3117
29987275000142,SECRETARIA MUNICIPAL DE EDUCACAO,3089
13393152000143,MUNICIPIO DE FATIMA,3089
16416125000137,MUNICIPIO DE FEIRA DA MATA,3275
14043574000151,MUNICIPIO DE FEIRA DE SANTANA,3515
10736474000150,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,3091
13232996000102,MUNICIPIO DE FILADELFIA,3091
13752415000163,MUNICIPIO DE FIRMINO ALVES,3517
14147904000159,MUNICIPIO DE FLORESTA AZUL,3519
13654454000128,MUNICIPIO DE FORMOSA DO RIO PRETO,3521
14195358000121,MUNICIPIO DE GANDU,3523
13233036000167,MUNICIPIO DE GAVIAO,3093
13879390000163,MUNICIPIO DE GENTIO DO OURO,3525
14217335000170,MUNICIPIO DE GLORIA,3527
14235048000193,MUNICIPIO DE GONGOGI,3529
13828496000138,MUNICIPIO DE GOVERNADOR MANGABEIRA,3531
13284658000114,MUNICIPIO DE GUAJERU,3095
13982640000196,MUNICIPIO DE GUANAMBI,3533
13634985000159,MUNICIPIO DE GUARATINGA,3535
54502896000136,"SECRETARIA MUNICIPAL DE EDUCACAO, CULTURA, ESPORTE E LAZER",3097
13889993000146,MUNICIPIO DE IACU,3537
13676986000166,MUNICIPIO DE IBIASSUCE,3539
14147896000140,MUNICIPIO DE IBICARAI,3541
13922588000182,MUNICIPIO DE IBICOARA,3543
06073570000198,SECRETARIA DE EDUCACAO E CULTURA,3545
13714803000150,MUNICIPIO DE IBIPEBA,3547
06081206000170,"SECRETARIA DE EDUCACAO, CULTURA, DESPORTO, LAZER E TURISMO",3551
13718671000134,MUNICIPIO DE IBIQUERA,3553
13846753000164,MUNICIPIO DE IBIRAPITANGA,3555
14210389000104,MUNICIPIO DE IBIRAPUA,3557
14131569000109,MUNICIPIO DE IBIRATAIA,3559
13781828000176,MUNICIPIO DE IBITIARA,3561
13715057000119,MUNICIPIO DE IBITITA,3563
13798152000123,MUNICIPIO DE IBOTIRAMA,3565
13906151000155,MUNICIPIO DE ICHU,3567
13811484000109,MUNICIPIO DE IGAPORA,3569
13071204000165,MUNICIPIO DE IGRAPIUNA,3277
13858303000191,MUNICIPIO DE IGUAI,3571
13672597000162,MUNICIPIO DE ILHEUS,3573
13647185000172,MUNICIPIO DE INHAMBUPE,3575
13621735000184,MUNICIPIO DE IPECAETA,3577
13701651000150,MUNICIPIO DE IPIAU,3579
14042659000115,MUNICIPIO DE IPIRA,3581
13798384000181,MUNICIPIO DE IPUPIARA,3583
13763479000160,MUNICIPIO DE IRAJUBA,3585
13894902000160,MUNICIPIO DE IRAMAIA,3587
13922596000129,MUNICIPIO DE IRAQUARA,3589
13626205000129,MUNICIPIO DE IRARA,3591
13715891000104,MUNICIPIO DE IRECE,3593
16234429000183,MUNICIPIO DE ITABELA,3279
13719646000175,MUNICIPIO DE ITABERABA,3595
14147490000168,MUNICIPIO DE ITABUNA,3597
13846902000195,MUNICIPIO DE ITACARE,3599
13922620000120,MUNICIPIO DE ITAETE,3601
06238478000130,SECRETARIA MUNICIPAL DE EDUCACAO DO MUN. DE ITAGI,3603
13701966000106,MUNICIPIO DE ITAGIBA,3605
13634969000166,MUNICIPIO DE ITAGIMIRIM,3607
16445843000131,MUNICIPIO DE ITAGUACU DA BAHIA,3281
14147920000141,MUNICIPIO DE ITAJU DO COLONIA,3609
14147946000190,MUNICIPIO DE ITAJUIPE,3611
30976908000104,SECRETARIA MUNICIPAL DE EDUCACAO E CULTURA,3613
13753959000140,MUNICIPIO DE ITAMARI,3615
13743760000130,MUNICIPIO DE ITAMBE,3617
14757157000170,MUNICIPIO DE ITANAGRA,3619
14210512000197,MUNICIPIO DE ITANHEM,3621
31022447000195,SECRETARIA MUNICIPAL DE EDUCACAO,3623
13882949000104,MUNICIPIO DE ITAPARICA,3623
14147938000143,MUNICIPIO DE ITAPE,3625
13634993000103,MUNICIPIO DE ITAPEBI,3627
13751102000190,MUNICIPIO DE ITAPETINGA,3629
13647557000160,MUNICIPIO DE ITAPICURU,3631
14147482000111,MUNICIPIO DE ITAPITANGA,3633
13763735000119,MUNICIPIO DE ITAQUARA,3635
13751276000153,MUNICIPIO DE ITARANTIM,3637
06085326000145,"SECRETARIA MUNICIPAL DE EDUCACAO, CULTURA, DESPORTO E TURISMO",3283
30068119000167,SECRETARIA DE EDUCACAO E CULTURA - SEC,3639
13988324000121,MUNICIPIO DE ITIUBA,3641
13752993000108,MUNICIPIO DE ITORORO,3643
14106280000121,MUNICIPIO DE ITUACU,3645
14195333000128,MUNICIPIO DE ITUBERA,3647
16416158000187,MUNICIPIO DE IUIU,3285
13245568000114,MUNICIPIO DE JABORANDI,9859
13677109000100,MUNICIPIO DE JACARACI,3649
14197586000130,MUNICIPIO DE JACOBINA,3651
29967729000113,SECRETARIA DE EDUCACAO DE JACOBINA,3651
13910211000103,MUNICIPIO DE JAGUAQUARA,3653
13988316000185,MUNICIPIO DE JAGUARARI,3655
06091010000166,SECRETARIA MUNICIPAL DE EDUCACAO,3655
13796289000149,MUNICIPIO DE JAGUARIPE,3657
13697206000164,MUNICIPIO DE JANDAIRA,3659
30899445000116,SECRETARIA MUNICIPAL DE EDUCACAO DE JEQUIE,3661
13764659000166,MUNICIPIO DE JIQUIRICA,3665
14205686000161,MUNICIPIO DE JITAUNA,3667
13891510000148,MUNICIPIO DE JOAO DOURADO,3099
13915632000127,MUNICIPIO DE JUAZEIRO,3669
16412025000132,MUNICIPIO DE JUCURUCU,3287
13717277000181,MUNICIPIO DE JUSSARA,3671
13657937000186,MUNICIPIO DE JUSSARI,3069
13674148000153,MUNICIPIO DE JUSSIAPE,3673
14205959000178,MUNICIPIO DE LAFAIETE COUTINHO,3675
16416117000190,MUNICIPIO DE LAGOA REAL,3289
13825492000104,MUNICIPIO DE LAJE,3677
13785670000102,MUNICIPIO DE LAJEDAO,3679
13810544000160,MUNICIPIO DE LAJEDINHO,3681
30895154000150,SECRETARIA MUNICIPAL DE EDUCACAO - SEME,3291
31190352000180,"SECRETARIA MUNICIPAL DE EDUCACAO, CULTURA, ESPORTE E LAZER - SMECEL",3683
13891528000140,MUNICIPIO DE LAPAO,3973
30118070000100,SECRETARIA DE EDUCACAO E CULTURA,3973
13927819000140,MUNICIPIO DE LAURO DE FREITAS,3685
14694400000159,MUNICIPIO DE LENCOIS,3687
14108286000138,MUNICIPIO DE LICINIO DE ALMEIDA,3689
13674817000197,MUNICIPIO DE LIVRAMENTO DE NOSSA SENHORA,3691
04214419000105,MUNICIPIO DE LUIS EDUARDO MAGALHAES,1112
13810841000106,MUNICIPIO DE MACAJUBA,3693
13751540000159,MUNICIPIO DE MACARANI,3695
13782461000105,MUNICIPIO DE MACAUBAS,3697
14217343000117,MUNICIPIO DE MACURURE,3699
